Badanie;Placówka;Cena
RUMIANEK  (W-206) - IGE SWOISTE (L91);Kraków, ul. Kościuszki 73;53.0
MIEDŹ W MOCZU (G68);Kraków, ul. Kościuszki 73;106.0
BANAN (F92) - IGE SWOISTE (L91);Skierniewice, ul. Jagiellońska 27B;61.0
RARA H 6 ORZECH ZIEMNY (F447) IGE SWOISTE (L91);Warszawa, ul. Kłobucka 6c;61.0
OWOCE MIX (FX90) - IGE SWOISTE (L91);Węgorzyno, ul. Grunwaldzka 27a;56.0
PALLAD;Nowe Miasto nad Pilicą, ul. Tomaszowska 43;321.0
P/C PRZECIW ENDOMYSIUM I GLIADYNIE W KLASIE IGG (SCRENNING);Rzeszów, ul. Rejtana 49/8;105.0
RPHL P 7, RPHL P 12 TYMOTKA ŁĄKOWA (G-214) IGE SWOISTE (L91);Rogowiec, ul. Św. Barbary 8;61.0
RYSPERYDON;Wyszków, ul. 3 Maja 45;210.0
PANEL BADAŃ PRZESIEWOWYCH W KIERUNKU PREDYSPOZYCJI - RAK NERKI - ANALIZA 13 GENÓW, METODA NGS;Rypin, ul. Nowy Rynek 16 G;2900.0
PIERZE (PIÓRA GĘSI) (E70) - IGE SWOISTE (L91);Łódź, ul. Kopcińskiego 32;61.0
ALFA 1 - ANTYTRYPSYNA W SUROWICY (I65);Sulechów, ul. Styczniowa 33;91.0
ORZECH PEKAN (F201) - IGE SWOISTE (L91);Nowa Sól, ul. Piłsudskiego 55B/3;58.0
WYKRYWANIE RNA WIRUSA GRYPY A ORAZ RÓŻNICOWANIE PODTYPÓW: AH3N2 ORAZ AH1N1 METODĄ REAL TIME-PCR;Dębica, ul. Poddęby 6;216.0
KLONAZEPAM;Dzierżoniów, ul. Bohaterów Getta 5;210.0
ADRENALINA W OSOCZU (EPINEFRYNA) (I05);Gdańsk, ul. Subisława 27C/5;161.0
FOODPROFIL  22 IGG;Wyszków, ul. Chopina 11 l. U1;279.0
17 KETOSTEROIDY W DZM (M17);Gostynin, ul. Armii Krajowej 16;203.0
PANEL ALERGENÓW MLEKA - 5 ALERGENÓW MLEKA + GLUTEN METODĄ POLYCHECK (L91);Krosno, ul. Św. Wojciecha 22B;122.0
MUKOWISCYDOZA - IDENTYFIKACJA 169 MUTACJI I WARIANTÓW GENU CFTR (EKSONY 11, 12 I 24), W TYM 8 NAJCZĘŚCIEJ WYSTĘPUJĄCYCH W POPULACJI POLSKIEJ;Biały Bór, ul. C.K. Norwida 5;595.0
ZIEMNIAK (F35) - IGE SWOISTE (L91);Poznań, ul. Grochowska 110;61.0
ZOPIKLON;Police, ul. Piłsudskiego 6/7;210.0
P/C PRZECIW GANGLIOZYDOWE GM-1;Lesko, ul. Parkowa 10;621.0
CYSTATYNA C (K16);Kłodzko, ul. Kościuszki 15A/17;97.0
PROKOLAGEN TYPU III;Jelcz-Laskowice, ul. Bożka 11;169.0
NASKÓREK CHOMIKA (E84) - IGE SWOISTE (L91);Sosnowiec, ul. Zaruskiego 3B;59.0
PIECZARKA (F212) - IGE SWOISTE (L91);Białogard, ul. Mickiewicza 6;69.0
P/C P/KANAŁOM POTASOWYM VGKC -MET.IIF;Lesko, ul. Parkowa 10;126.0
INTERLEUKINA 18;Bezrzecze, ul. Koralowa 98a;332.5
TEST PRENATALNY HARMONY (T21, T18, T13) + PANEL W KIERUNKU ANEUPLOIDII CHROMOSOMÓW PŁCI + MIKRODELECJA 22Q11.2 + PŁEĆ DZIECKA;Krzywiń, ul. Chłapowskiego 34;2200.0
GENETYCZNY PANEL DIAGNOSTYCZNY - CHOROBY UKŁADU ODDECHOWEGO, METODA NGS (BADANIE Z KONSULTACJĄ);Żory, ul. Wodzisławska 11;3990.0
MUSZTARDA (F89) - IGE SWOISTE (L91);Przemyśl, ul. Kamienny Most  8;53.0
ŚWINKA - P/C IGG (F94);Toruń, ul. Watzenrodego 15A;193.0
NSAL K 1  SOLANKA KOLCZYSTA (W-232) IGE SWOISTE (L91);Gostynin, ul. Rynek 25;68.0
HYDROKSYZYNA - BADANIE JAKOŚCIOWE W MOCZU;Warszawa, ul. Solec 81B Centrum Handlowe ARKADA;161.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - CHLAMYDIA PNEUMONIAE MET. ELISPOT;Rumia, ul. Gen. Henryka Dąbrowskiego 50;636.0
CYNK W SUROWICY (K15);Tuchola, ul. Chopina 4;81.0
WYKRYWANIE PRZECIWCIAŁ PRZECIWGRANULOCYTARNYCH W SUROWICY (PAKIET BADAŃ: TEST IMMUNOFLUORESTCENCJI GIFT, TEST MIKROAGLUTYNACJI GAT, TEST LABSCREEN MULTI LUMINEX TEST MAIGA;Świdnik, ul. Jarzębinowa 4;1418.35
MALINA (F343) - IGE SWOISTE (L91);Łódź, ul. Kopcińskiego 32;61.0
RARA H 8 PR-10 ORZECH ZIEMNY (F-352) IGE SWOISTE (L91);Przemyśl, ul. Kamienny Most  8;63.0
GLUTATION ZREDUKOWANY/UTLENIONY;Mierzyn, ul. Welecka 1a;305.0
P/C PRZECIW FOSFATAZIE TYROZYNOWEJ (IA2) (N87);Siedlce, ul. Starowiejska 66;347.0
PANEL BADAŃ PRZESIEWOWYCH W KIERUNKU PREDYSPOZYCJI - RAK PIERSI/JAJNIKA - ANALIZA 27 GENÓW, METODA NGS;Rybnik, ul. Mościckiego 4;2890.0
PENICYLINA V(C2) - IGE SWOISTE (L91);Rybnik, ul. Korfantego 6;61.0
ROZTOCZE KURZU DOMOWEGO (D1) - IGE SWOISTE (L91);Siemiatycze, pl. Jana Pawła II 31;57.0
P/C PRZECIW WIRUSOWI HANTAAN (HTNV) IGG;Głogów, ul. Kościuszki 15;109.0
RTĘĆ W MOCZU (P89);Łódź, ul. Kopcińskiego 32;169.0
KADM WE KRWI (P43);Kielce, ul. Zagnańska 92;145.0
RNA WIRUSA SARS-COV-2 (WYMAZ, METODA PCR, COVID) WYNIK W JĘZYKU POLSKIM;Płock, ul. Piłsudskiego 35;308.0
BILANS TŁUSZCZOWY W KALE;Łódź, ul. Przybyszewskiego 161A;193.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - BABESIA MET. ELISPOT;Stargard, ul. Piłsudskiego 87B;636.0
WYKRYWANIE TOKSYN A I B CLOSTRIDIOIDES DIFFICILE;Lubin, ul. 1 Maja 1B;133.0
WYKRYWANIE DNA STREPTOCOCCUS AGALACTIAE (GBS) METODĄ REAL TIME-PCR (U78);Choszczno, ul. Jagiełły 16B/1;463.0
BABESIA MICROTI – P/C IGM;Gryfice, ul. Pocztowa 6;323.0
MĄKA KUKURYDZIANA (F8) - IGE SWOISTE (L91);Tomaszów Mazowiecki, ul. Stolarska 31;61.0
WYKRYWANIE DNA TRYPANOSOMA CRUZI (ŚWIDROWIEC AMERYKAŃSKI);Kalisz, ul. Polna 104;832.0
BAR WE KRWI;Radom, ul. Czarnoleska 25 lok 5B;192.0
SOCZEWICA (F235) - IGE SWOISTE (L91);Ustrzyki Dolne, ul. 29 Listopada 2;53.0
MYCOPLASMA PNEUMONIAE PRZECIWCIAŁA IGM (U43);Kutno, ul. Sienkiewicza 14;108.0
TEST PRENATALNY HARMONY (T21, T18, T13) + PANEL W KIERUNKU ANEUPLOIDII CHROMOSOMÓW PŁCI + PŁEĆ DZIECKA;Koluszki, ul. Sikorskiego 12;2100.0
EBV - WIRUS EPSTEINA BARR - TEST SZYBKI (MONONUKLEOZA);Sandomierz, ul. Mickiewicza 55a/5;37.0
CHOLESTEROL CAŁKOWITY (I99);Lublin, ul. Krańcowa 107 lok 8;12.0
MONITOROWANIE TERAPII LEKAMI: IMMUNOSUPRESANTY-1, HPLC/PDA;Rypin, ul. Nowy Rynek 16 G;239.0
GRUSZKA (F94) - IGE SWOISTE (L91);Gdańsk, ul. Świętokrzyska 25;62.0
WYKRYWANIE DNA TRICHOMONAS VAGINALIS;Warszawa, ul. Gen. Emila Fieldorfa 10;505.0
P/C PRZECIW PNEUMOKOKOM (PCV-13) IGG;Wieliczka, ul. Dembowskiego 60;303.0
CANDIDA ALBICANS DNA;Biłgoraj, ul. Kopernika 25;232.0
FOODPROFIL  268 IGG;Ełk, ul. Kościuszki 1;1772.0
JOD W MOCZU (M07);Otwock, ul. Filipowicza 1b;292.0
PANEL ALERGENÓW INSEKTÓW - 5 ALERGENÓW METODĄ POLYCHECK (L91);Lublin, ul. Hipoteczna 4;127.0
FLUWOKSAMINA;Nowy Dwór Gdański, ul. Dworcowa 11;210.0
WCZESNA DIAGNOSTYKA BORELIOZY-TEST LYMEDETECT.;Żory, ul. 700 lecia 15PU;450.0
ILOŚCIOWE OZNACZANIE DNA WIRUSA HBV METODĄ REAL TIME - PCR (V47);Stargard, ul. Piłsudskiego 87B;303.0
PIÓRA PAPUGI(E213) - IGE SWOISTE (L91);Pabianice, ul. Kilińskiego 10/12;61.0
BLOT MYOSITIS;Mielec, ul. Pisarka 3A/3;184.0
TP53 (DRUGI ETAP) – BADANIE MUTACJI W EKSONACH 2-4 I 9-11 GENU TP53 (CLL, ZESPÓŁ LI-FRAUMENI) (BLOCZEK PARAFINOWY – TKANKA NOWOTWOROWA LUB KREW OBWODOWA) METODĄ SEKWENCJONOWANIA SANGERA;Poddębice, ul. Mickiewicza 16;1187.0
MANDARYNKA (F-302) IGE SWOISTE (L91);Węgorzewo, ul. Armii Krajowej 3a;61.0
CHROM WE KRWI (P19);Lublin, ul. Krańcowa 107 lok 8;184.0
LEGIONELLA - P/C IGM (U17);Lublin, ul. Relaksowa 28;308.0
PANEL HORMONY MĘSKIE ŚLINA ROZSZERZONY;Nowy Sącz, ul. Jana Długosza 32a;454.0
NAMB A 1  AMBROZJA BYLICOLISTNA (W-230) IGE SWOISTE (L91);Warszawa, ul. Jana Kazimierza 31;61.0
PANEL ALERGENÓW PEDIATRYCZNYCH DPA-DX - 14 ALERGENÓW METODĄ EUROIMMUN (L91);Wieliczka, ul. Dembowskiego 60;240.0
TYMIANEK (F273) - IGE SWOISTE (L91);Warszawa, ul. Przeworska 7 lok. U5;69.0
NEOPTERYNA (N19);Tuchola, ul. Nowodworskiego 14/18;169.0
RAPI M 2 PSZCZOŁA MIODNA, HIALURONIDAZA (I214) IGE SWOISTE (L91);Kraków, ul. Grzegórzecka 79c;61.0
PSZENICA (G15) - IGE SWOISTE (L91);Limanowa, ul. Kościuszki 9;63.0
BADANIE KAŁU W KIERUNKU AMEBY;Świecie, ul. Jana III Sobieskiego 2;83.0
JESION (T15) - IGE SWOISTE (L91);Szczecin, ul. Dubois 27;61.0
IMMUNOGLOBULINA IG E (CAŁK.) W SUROWICY (L89);Warszawa, ul. Opaczewska 43 lok. 18;55.0
CZEKOLADA (F52) - IGE SWOISTE (L91);Szczecin, ul. Bandurskiego 95;61.0
LEPIDOGLYPHUS DESTRUCTOR (D71) - IGE SWOISTE (L91);Wodzisław Śląski, ul. Mendego 18;61.0
PROMETAZYNA;Rydułtowy, ul. Bema 5a;191.0
LESZCZYNA (T4) - IGE SWOISTE (L91);Trzebnica, ul. Św. Jadwigi 3C;61.0
P/C PRZECIW HHV-6 IGM;Przemyśl, ul. Kamienny Most  8;218.5
SKRYNING NARKOTYKÓW W MOCZU;Starachowice, ul. Konstytucji 3 Maja 18A;352.0
RANA O 3 ORZECH NERKOWCA (F-443) IGE SWOISTE (L91);Elbląg, ul. Jana Pawła II 1/B;61.0
PRZECIWCIAŁA ONKONEURONALNE W PNS OCENA SWOISTOŚCI 12 PRZECIWCIAŁ: AMFIFIZYNA, CV2, PNMA2(MA2/TA), RI, YO, HU, REKOWERYNA, SOX1, TYTYNA, ZIC4, GAD65, TR(DNER) MET. BLOT;Warszawa, ul. Kasprzaka 29 l. U110;374.0
POSIEW KAŁU U DZIECKA DO LAT 2;Warszawa, ul. Belgradzka 4 lok 5U;97.0
FLURAZEPAM;Złotów, ul. Bohaterów Westerplatte 5;166.0
P/C PRZECIW STRONGYLOIDES STERCORALIS (X29);Bytów, ul. Sychty 5 lokal 3B;323.0
PRYMIDON (T53);Katowice, ul. Ściegiennego 49C;146.0
KOPEREK (F277) - IGE SWOISTE (L91);Węgorzyno, ul. Grunwaldzka 27a;54.0
RBET V4 (T220) IGE SWOISTE (L91);Łódź, ul. Felińskiego 7;61.0
LEGIONELLA - P/C IGG (U16);Wałbrzych, ul. Kusocińskiego 15;306.0
KALPROTEKTYNA KRĄŻĄCA;Tarnów, ul. Powstańców Warszawy 40;165.0
MIESZANKA RYB (FX74) - IGE SWOISTE (L91);Rydułtowy, ul. Bema 5a;69.0
P/C PRZECIW WIRUSOWI ODRY IGM I IGG;Jaworzno, ul. Grunwaldzka 47;177.0
CA 19-9 (I45);Wiślica, ul. Batalionów Chłopskich 64;44.0
PIPAMPERON;Szczecin, ul. Felczaka 8B;210.0
LCT – BADANIE OBECNOŚCI POLIMORFIZMU C.13910C>T  W REGIONIE PROMOTOROWYM GENU LCT (NIETOLERANCJA LAKTOZY) METODĄ REAL-TIME PCR;Świdwin, ul. Gagarina 71;403.0
CHLAMYDIA TRACHOMATIS PRZECIWCIAŁA IGA (S71);Kalisz Pomorski, ul. Wolności 14;65.0
P/C PRZECIW MI-2;Kłodzko, ul. Kościuszki 15A/17;321.0
HDV - P/C PRZECIW HDV (WZW TYPU D) (V58);"Ostrołęka, ul. Gen. Augusta Emila Fieldorfa ""Nila"" 19";161.0
P/C PRZECIW B2 -GLIKOPROTEINIE-1 IGA;Warszawa, ul. Żegańska 48;321.0
OŁÓW WE KRWI (P71);Zielona Góra, ul. Bohaterów Westerplatte 39;102.0
ORZECH BRAZYLIJSKI (F18) - IGE SWOISTE (L91);Dębno, ul. Kościuszki 58;56.0
BADANIE CYTOGENETYCZNE (KARIOTYP KLASYCZNY) LIMFOCYTÓW KRWI OBWODOWEJ;Bezrzecze, ul. Koralowa 98a;499.0
GRYPA B - P/C IGG (F80);Inowrocław, ul. Szarych Szeregów 23B;177.0
MIESZANKA DRZEW (TX9) - IGE SWOISTE (L91);Czarne, pl. Wolności 10;69.0
FOODPROFIL 44 IGG4;Radomsko, ul. Reymonta 46;501.0
DEHYDROGENAZA GLUKOZO 6 FOSFORANU (K29);Kraków, os. Na Wzgórzach 1;609.0
CYNK W MOCZU (K15);Jaworzyna Śląska, ul. Westerplatte 16;77.0
POSIEW WYMAZU Z JAMY USTNEJ - TLENOWO (91.831);Warszawa, ul. Targowa 70/2;59.0
P/C PRZECIW YERSINIA ENTEROCOLITICA IGM– MET. WESTERN BLOT (U98);Warszawa, ul. Piękna 15;266.0
DEMETYLOFLUOKSETYNA;Opole, ul. Ozimska 19;208.0
TOXOCARA CANIS IGG (X33);Sulęcin, ul. Kupiecka 5;153.0
GAMMA-GLUTAMYLOTRANSPEPTYDAZA (GGTP) (L31);Iłża, ul. Danuty Siedzikówny 4;19.0
NAWŁOĆ POSPOLITA (W12) - IGE SWOISTE (L91);Siedlce, ul. Poniatowskiego 26;61.0
DIAGNOSTYCZNE BADANIE EKSOMU ANALIZA 21526 GENÓW;Łódź, ul. Tatrzańska 109;4100.0
P/C PRZECIW JĄDROM NEURONÓW (ANTY-MA);Lublin, ul. Relaksowa 28;193.0
HELICOBACTER PYLORI W KALE - ANTYGEN - METODA AUTOMATYCZNA (U15);Zduńska Wola, ul. Szadkowska 27D;117.0
HEMOCHROMATOZA - ANALIZA SEKWENCJI KODUJĄCEJ GENÓW HFE, HFE2, HAMP, TFR2, SLC40A1, METODA NGS;Skierniewice, ul. Jagiellońska 27B;2900.0
MOCZNIK (N13);Elbląg, ul. 3 maja 12-14;12.0
FIKUS (K81) - IGE SWOISTE (L91);Giżycko, ul. Olsztyńska 15a;61.0
MARKER OKSYDACYJNEGO USZKODZENIA DNA, 8-HYDROKSY-2-DEOKSYGUANOZYNA;Drzewica, ul. Stawowa 27;349.0
KARBAMAZEPINA W MOCZU (T33);Wysokie Mazowieckie, ul. Armii Krajowej 4;131.0
POSIEW KAŁU W KIERUNKU CAMPYLOBACTER (91.831);Warszawa, ul. Strumykowa 40A;161.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - YERSINIA MET. ELISPOT;Lubawa, ul. Mieszka I 9;636.0
SULPIRYD - BADANIE JAKOŚCIOWE W MOCZU;Sokołów Małopolski, ul. Rynek 42;153.0
CZYNNIK REUMATOIDALNY RF IGG (K21);Tarnów, ul. Powstańców Warszawy 40;97.0
RYŻ (F9) - IGE SWOISTE (L91);Szczecinek, ul. Kilińskiego 7;54.0
TYMOTKA ŁĄKOWA (G6) - IGE SWOISTE (L91);Wyszków, ul. 3 Maja 45;61.0
IMMUNOGLOBULINA IGG PODKLASA IGG-3 (L93);Strzegom, ul. Dąbrowskiego 29/4;195.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - VZV MET. ELISPOT;Tarnobrzeg, ul. Piłsudskiego 5;611.0
PANEL ALERGENÓW WZIEWNYCH - 30 ALERGENÓW METODĄ POLYCHECK;Rogoźno, ul. Wojska Polskiego 4a;247.0
CANDIDA MANNAN - TEST PLATELIA;Białogard, ul. Mickiewicza 6;130.0
TRAZODON;Sokołów Podlaski, ul. Piłsudskiego 10/3U;210.0
KAPUSTA (F216) - IGE SWOISTE (L91);Oleśnica, ul. Lwowska 23;69.0
PROFIL CYTOKIN TH1/TH2/TH17;Poznań, ul. 28 czerwca 1956 r.  194;482.0
TEST KIŁOWY - PRZESIEWOWY (WR);Gdynia, ul. Okrzei 7/9;24.0
KODEINA - BADANIE JAKOŚCIOWE W MOCZU;Rzeszów, ul. Księcia Józefa Poniatowskiego 8, wejście od ul. Jagiellońskiej;153.0
FENOBARBITAL MET. HPLC;Warszawa, ul. Kasprzaka 29 l. U110;161.0
P/C PRZECIW KOMÓRKOM JĄDER LEYDIGA (IIF);Świecie, ul. Jana III Sobieskiego 2;244.0
EX2 MIESZANKA ALERGENÓW;Nowe Czarnowo, ul. Nowe Czarnowo 74;69.0
MĄKA PSZENNA (F4) - IGE SWOISTE (L91);Pasłęk, ul. Chrobrego 25;62.0
BIAŁKO BENCE-JONESA MET. JAKOŚCIOWĄ;Międzyrzecz, ul. Zachodnia 1B;88.0
GLOBULINA WIĄŻĄCA HORMONY PŁCIOWE (SHBG) (I83);Koszalin, ul. Zwycięstwa 8/2;111.0
WITAMINA B12 (O83);Olsztyn, ul. Barcza 58 lok U10;53.0
TACROLIMUS (PROGRAF) (T56);Warszawa, ul. Żeromskiego 55/67;186.0
WOLNY KORTYZOL W MOCZU (M33);Kraków, ul. Kapelanka 13b;83.0
RUBELLA (RÓŻYCZKA) - P/C IGM (V24);Kraków, ul. Agatowa 31;58.0
RCOR A 14 ORZECH LASKOWY (F-439) IGE SWOISTE (L91);Pabianice, ul. Kilińskiego 10/12;61.0
KREATYNINA W MOCZU (M37);Legnica, ul. Wrocławska 27;18.0
WIGABATRYNA;Łęczna, ul. Targowa 11/1;191.0
P/C PRZECIWKO WIRUSOWI HTLV-I/II (F32);Łódź, ul. Felińskiego 7;142.0
BURAK CUKROWY (F227) - IGE SWOISTE (L91);Gdańsk, ul. Hynka 18 lok. U4;68.0
MIESZANKA TRAW PANEL 3 (GX-6) - IGE SWOISTE (L91);Łódź, ul. Zgierska 1;69.0
BĄBLOWICA (ECHINOCOCCUS) - P/C IGG MET. WESTERN-BLOT (X05);Puck, ul. Wojska Polskiego 23;277.0
P/C PRZECIW AMFIFIZYNIE;Zielona Góra, ul. Wyszyńskiego 32B;175.0
HELICOBACTER PYLORI - P/C IGG (U12);Nowy Dwór Mazowiecki, ul. Wojska Polskiego 45a/48;59.0
LIZOZYM;Elbląg, ul. 3 maja 12-14;101.0
CZYNNIK VON WILLEBRANDA (ANTYGEN) (G47);Wrocław, ul. Racławicka 2;305.0
CHWASTY (WX5) (L91);Leżajsk, ul. Rynek 14;74.0
KRYPTOMERIA JAPOŃSKA (T17) - IGE SWOISTE (L91);Warszawa, ul. Belgradzka 4 lok 5U;61.0
DRZEWA PÓŹNE (TX6) (L91);Łuków, ul. Spokojna 2a;63.0
MONITOROWANIE TERAPII LEKAMI: ANTYDEPRESANTY-1, LC-MS/MS;Dębica, ul. Poddęby 6;459.0
CAMPYLOBACTER - P/C IGA (S53);Tomaszów Mazowiecki, ul. Stolarska 31;161.0
DROŻDŻE (F45) - IGE SWOISTE (L91);Łomianki, ul. Warszawska 164;61.0
FELBAMAT;Malbork, ul. Dworcowa 15;161.0
P/C PRZECIW WIRUSOWI SARS COV-2 W KLASIE IGM (V98);Gdańsk, ul. Hynka 18 lok. U4;146.0
P/C PRZECIW GIARDIA LAMBLIA IGG;Wrocław, ul. Sikorskiego 5A;123.0
SÓD W MOCZU (O35);Pisz, ul. Sienkiewicza 4/39;27.0
KWAS MOCZOWY  W SUROWICY (M45);Limanowa, ul. Kościuszki 9;16.0
GENETYCZNY PANEL DIAGNOSTYCZNY - DYSMORFOLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Łódź, ul. Rzgowska 219;3990.0
NGLY M 6 SOJA , GLICYNINA (F-432) IGE SWOISTE (L91);Chełm, ul. Partyzantów 1;63.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - BORRELIA MIYAMOTOI MET. ELISPOT;Szczecin, ul. Milczańska 7K;557.0
S-100 - MARKER NOWOTWOROWY CZERNIAKA;Łomża, al. Legionów 60B;169.0
P/C PRZECIW LEISHMANIA IGG (LEISHMANIOZA TRZEWNA);Wejherowo, ul. Rzeźnicka 1A/3;142.0
TRICHINELLA SPIRALIS P/C IGG (WŁOŚNICA) (X53);Warszawa, ul. Bukowińska 22B;250.0
MIEDŹ W DOBOWEJ ZBIÓRCE MOCZU (G68);Lublin, ul. Krańcowa 107 lok 8;86.0
PŁYTKI KRWI - LICZBA (C66);Warszawa, ul. Rembrandta 2 lok U11;27.0
HELMINTHOSPORIUM HALODES (M8) -  IGE SWOISTE (L91);Warzymice, ul. Warzymice 44;61.0
HISTAMINA W KALE;Bytom, ul. Wrocławska 32-34;504.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - CHLAMYDIA TRACHOMATIS MET. ELISPOT;Gorzów Wielkopolski, ul. PIŁSUDSKIEGO 1B;606.0
WSKAŹNIKI DETOKSYKACJI ORGANIZMU;Świecie, ul. Jana III Sobieskiego 2;542.0
P/C PRZECIW CENTROMEROM;Warszawa, ul. Piękna 15;202.0
YERSINIA PRZECIWCIAŁA IGM (U88);Katowice, ul. Ściegiennego 49C;101.0
CYKLOSPORYNA (T11);Sosnowiec, ul. Jagiellońska 6A;175.0
HSV - WIRUS OPRYSZCZKI TYP 1/2 P/C IGG (F64);Tuchola, ul. Chopina 4;155.0
P/C PRZECIW CHLAMYDIA TRACHOMATIS, PNEUMONIAE I PSITTACI – IGM – TEST POTWIERDZENIA (WESTERN BLOT);Chojnice, ul. Obrońców Chojnic 3;399.0
PANEL CELIAKIA IGG-METODĄ POLYCHECK;Sosnowiec, ul. Zaruskiego 3B;146.0
TATANUSTOXOID (C208) - IGE SWOISTE (L91);Węgorzewo, ul. Armii Krajowej 3a;69.0
TAL;Poznań, ul. Cyryla Ratajskiego 9;169.0
WYKRYWANIE DNA CAMPYLOBACTER JEJUNI;Kraków, ul. Krakowska 39/1;501.0
EPOKSYD KARBAMAZEPINY;Wrocław, ul. Św. Wincentego 35;161.0
STYRYPENTOL;Kutno, ul. Sienkiewicza 14;239.0
GRYKA (F11) - IGE SWOISTE (L91);Świdnik, ul. Jarzębinowa 4;63.0
RPHL P 7 TYMOTKA ŁĄKOWA (G-210 ) IGE SWOISTE (L91);Połczyn-Zdrój, ul. Zdrojowa 6;54.0
DYNIA (F225) - IGE SWOISTE (L91);Płock, ul. Kolegialna 43A;78.0
RPHL P 6 TYMOTKA ŁĄKOWA (G-209) IGE SWOISTE (L91);Rzeszów, ul. Księcia Józefa Poniatowskiego 8, wejście od ul. Jagiellońskiej;63.0
WITAMINA B1 (TIAMINA);Poznań, ul. Krauthofera 22B;204.0
DEHYDROGENAZA GLUTAMINIANOWA (GLDH) (K31);Resko, ul. Bohaterów Monte Cassino 10;41.0
CAMPYLOBACTER - P/C IGG (S51);Wrocław, ul. Kamieńskiego 227/U3;161.0
RBET V2 PROFILIN (T216) IGE SWOISTE (L91);Katowice, ul. Tysiąclecia 17;61.0
KWAS HIPUROWY W MOCZU;Brodnica, ul. Wyspiańskiego 10;228.0
RPHL P 1 TYMOTKA ŁĄKOWA (G-205) IGE SWOISTE (L91);Koluszki, ul. Sikorskiego 12;61.0
MIRTAZAPINA;Zgorzelec, ul. Wyspiańskiego 53A;218.0
PANEL NEUROPRZEKAŹNIKÓW ROZSZERZONY;Rypin, ul. Nowy Rynek 16 G;1422.0
RAK PIERSI I/LUB JAJNIKA, ANALIZA DELECJI/DUPLIKACJI W GENIE BRCA1 I BRCA2 METODĄ MLPA;Szczecin, ul. Maciejkowa 64/2;950.0
WAPŃ CAŁKOWITY W MOCZU ZE ZBIÓRKI DOBOWEJ (O77);Kielce, ul. Zagnańska 92;15.0
P/C PRZECIW PŁYTKOWE (O11);Kraków, os. Szkolne 9;133.0
SERODIAGNOSTYKA TULAREMII - ODCZYN IMMUNOENZYMATYCZNY  (ELISA), PRZECIWCIAŁA KLASY IGA, IGG, IGM;Warszawa, ul. Branickiego 10;326.0
RSV - P/C IGM (V17);Krotoszyn, ul. Piastowska 6;228.0
GENETYCZNY PANEL DIAGNOSTYCZNY - DYSLIPIDEMIA,  ANALIZA 29 GENÓW, METODA NGS;Raciąż, ul. Mławska 15;2900.0
ASPERGILLUS - ANTYGEN (W01);Wałcz, ul. Andersa 15;285.0
ILOŚCIOWE OZNACZANIE DNA WIRUSA HHV6 METODĄ REAL TIME-PCR;Rybnik, ul. Górnośląska 140;254.0
ELEKTROFOREZA HEMOGLOBIN;Poznań, ul. Krauthofera 22B;352.0
PSA WOLNY (I63);Połaniec, ul. Ruszczańska 1;49.0
CYNAMON (S8) - IGE SWOISTE (L91);Białystok, ul. 42 Pułku Piechoty 74A;57.0
CHLORKI W MOCZU ZE ZBIÓRKI DOBOWEJ (I97);Gorzów Wielkopolski, ul. Sienkiewicza 10/11;21.0
CHOLINOESTERAZA (K93);Rzeszów, ul. Rejtana 49/8;50.0
PANEL BADAŃ PRZESIEWOWYCH W KIERUNKU PREDYSPOZYCJI - RAK SKÓRY (CZERNIAK) - ANALIZA 7 GENÓW, METODA NGS;Komorniki, ul. Malinowskiego 9;2900.0
NORKLOMIPRAMINA;Szczecin, ul. Łubinowa 75;161.0
RFELD D 4 KOT (E-228) IGE SWOISTE (L91);Police, ul. Piłsudskiego 6/7;61.0
PAI-1 –  BADANIE POLIMORFIZMU 675 4G/5G W GENIE PAI (RYZYKO CHORÓB SERCOWO-NACZYNIOWYCH I PORONIEŃ) METODĄ REAL TIME PCR;Racibórz, ul. Bielska 2;222.0
NDER P 1 ROZTOCZE KURZU DOMOWEGO (D-202) IGE SWOISTE (L91);Reda, ul. Morska 4A;85.0
KWAS WANILINOMIGDAŁOWY (VMA) W DZM (M47);Warszawa, ul. Mołdawska 7;186.0
ILOŚCIOWE OZNACZANIE DNA WIRUSA CMV METODĄ REAL TIME-PCR (F26);Warszawa, ul. Przykoszarowa 16;326.0
ORZECH LESZCZYNY (F17) - IGE SWOISTE (L91);Jaworzno, ul. Grunwaldzka 47;61.0
P/C PRZECIW RECEPTOROWI TSH (TRAB) (O15);Jabłonna, ul. Zegrzyńska 20 lok 5;110.0
WANKOMYCYNA (T61);Wejherowo, ul. Rzeźnicka 1A/3;46.0
C - PEPTYD (N33);Lipsko, ul. 1 Maja 52;75.0
FASOLA (F15) - IGE SWOISTE (L91);Dzierżoniów, ul. Bohaterów Getta 5;61.0
HOMOCYSTEINA MET. HPLC;Koszalin, ul. Spasowskiego 1D;105.0
